,net_sales_revenue,profit_with_operations,profit_gross,profit_net,amortization,EBITDA,assets,equity,profit_per_share,book_value_per_share
01/01/2017,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175
02/01/2017,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175
03/01/2017,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175
04/01/2017,4802000,235000,618000,341000,401000,636000,33501000,16963000,1.705,84.815
05/01/2017,4802000,235000,618000,341000,401000,636000,33501000,16963000,1.705,84.815
06/01/2017,4802000,235000,618000,341000,401000,636000,33501000,16963000,1.705,84.815
07/01/2017,4774000,739000,787000,604000,383000,1122000,34306000,17706000,3.02,88.53
08/01/2017,4774000,739000,787000,604000,383000,1122000,34306000,17706000,3.02,88.53
09/01/2017,4774000,739000,787000,604000,383000,1122000,34306000,17706000,3.02,88.53
10/01/2017,5871000,-425000,-137000,-87000,454000,29000,34122000,17694000,-0.435,88.47
11/01/2017,5871000,-425000,-137000,-87000,454000,29000,34122000,17694000,-0.435,88.47
12/01/2017,5871000,-425000,-137000,-87000,454000,29000,34122000,17694000,-0.435,88.47
01/01/2018,4266000,549000,661000,439000,350000,899000,34904000,18111000,2.195,90.555
02/01/2018,4266000,549000,661000,439000,350000,899000,34904000,18111000,2.195,90.555
03/01/2018,4266000,549000,661000,439000,350000,899000,34904000,18111000,2.195,90.555
04/01/2018,5157000,1038000,323000,171000,514000,1552000,36071000,17983000,0.855,89.915
05/01/2018,5157000,1038000,323000,171000,514000,1552000,36071000,17983000,0.855,89.915
06/01/2018,5157000,1038000,323000,171000,514000,1552000,36071000,17983000,0.855,89.915
07/01/2018,5364000,525000,608000,363000,452000,977000,36221000,18524000,1.815,92.62
08/01/2018,5364000,525000,608000,363000,452000,977000,36221000,18524000,1.815,92.62
09/01/2018,5364000,525000,608000,363000,452000,977000,36221000,18524000,1.815,92.62
10/01/2018,5739000,1115000,874000,684000,480000,1595000,37237000,19133000,3.42,95.665
11/01/2018,5739000,1115000,874000,684000,480000,1595000,37237000,19133000,3.42,95.665
12/01/2018,5739000,1115000,874000,684000,480000,1595000,37237000,19133000,3.42,95.665
01/01/2019,5488000,1018000,838000,552000,453000,1471000,38518000,19348000,2.76,96.74
02/01/2019,5488000,1018000,838000,552000,453000,1471000,38518000,19348000,2.76,96.74
03/01/2019,5488000,1018000,838000,552000,453000,1471000,38518000,19348000,2.76,96.74
04/01/2019,5740000,520000,614000,417000,468000,988000,39045000,19871000,2.085,99.355
